# rhoc (cgs) 	 Pc (cgs) 	 R (km) 	 M (msol) 	 R_core (km) 	 M_core (msol) 	 I/(MR^2) 	 I_crust/(M_crust R_crust^2)/(I/(MR^2)) 	 k_2 	 Lambda 
 2.30000000e+14  1.00358450e+33  8.16414100e+02  1.04176541e-01  1.00000000e-05  0.00000000e+00  9.14209450e-03  1.00000000e+00 -3.73470909e-01 -1.04840232e+18 
 2.38590488e+14  1.04552587e+33  7.29098100e+02  1.02382253e-01  7.22600000e-01  1.86136135e-04  7.78582964e-03  9.99999908e-01  3.03135869e-03  5.27244587e+15 
 2.47180976e+14  1.09548723e+33  6.49252100e+02  1.00732651e-01  1.05060000e+00  5.80523434e-04  6.66213813e-03  9.99999096e-01  2.01724355e-03  2.13079770e+15 
 2.55771464e+14  1.16870301e+33  5.57539100e+02  9.88099905e-02  1.37360000e+00  1.32185155e-03  5.50858979e-03  9.99994142e-01  1.39675247e-03  7.58682714e+14 
 2.64361952e+14  1.25068471e+33  4.73080100e+02  9.70291072e-02  1.64360000e+00  2.30294218e-03  4.57973670e-03  9.99975217e-01  9.81872689e-04  2.56913416e+14 
 2.72952440e+14  1.33920029e+33  3.97501100e+02  9.54330766e-02  1.87360000e+00  3.46583234e-03  3.86421320e-03  9.99917515e-01  7.85299720e-04  9.34976877e+13 
 2.81542929e+14  1.46699766e+33  3.09122100e+02  9.35821829e-02  2.14560000e+00  5.30816215e-03  3.19023037e-03  9.99662719e-01  5.70022538e-04  2.12884884e+13 
 2.90133417e+14  1.59701083e+33  2.40188100e+02  9.21884605e-02  2.37360000e+00  7.31035576e-03  2.83584413e-03  9.98927325e-01  4.22061124e-04  4.81191949e+12 
 2.98723905e+14  1.73396563e+33  1.86842100e+02  9.12006954e-02  2.57760000e+00  9.51139240e-03  2.74738215e-03  9.97168356e-01  3.23836678e-04  1.10988343e+12 
 3.07314393e+14  1.87848266e+33  1.46593100e+02  9.06113546e-02  2.76360000e+00  1.19002784e-02  2.90883560e-03  9.93723794e-01  2.59781525e-04  2.73420561e+11 
 3.15904881e+14  2.03022878e+33  1.16690100e+02  9.04053680e-02  2.93460000e+00  1.44555859e-02  3.31726745e-03  9.88100899e-01  2.18937807e-04  7.44883084e+10 
 3.24495369e+14  2.18990220e+33  9.44001000e+01  9.05606531e-02  3.09360000e+00  1.71733241e-02  3.98272972e-03  9.80081498e-01  1.93849722e-04  2.26567757e+10 
 3.33085857e+14  2.35708943e+33  7.77301000e+01  9.10545952e-02  3.24160000e+00  2.00294000e-02  4.91629723e-03  9.69748622e-01  1.80494844e-04  7.77087585e+09 
