# rhoc (cgs) 	 Pc (cgs) 	 R (km) 	 M (msol) 	 R_core (km) 	 M_core (msol) 	 I/(MR^2) 	 I_crust/(M_crust R_crust^2)/(I/(MR^2)) 	 k_2 	 Lambda 
 2.30000000e+14  1.08196445e+33  3.79551310e+03  3.31337550e-01  2.11760000e+00  4.29137004e-03  1.33695134e-01  9.99999988e-01 -4.01555470e-04 -7.52164991e+15 
 2.34394220e+14  1.15047491e+33  3.57308510e+03  2.19101140e-01  2.30760000e+00  5.60775569e-03  1.18010956e-01  9.99999964e-01 -3.90160133e-04 -4.27370840e+16 
 2.38788439e+14  1.22442069e+33  1.91076110e+03  1.06511441e-01  2.48860000e+00  7.10205660e-03  3.73632596e-02  9.99998804e-01  5.36567217e-05  9.46767142e+15 
 2.43182659e+14  1.30386444e+33  6.88213100e+02  8.48802836e-02  2.66160000e+00  8.77300471e-03  6.38924350e-03  9.99904531e-01  5.35604298e-03  1.78235004e+16 
 2.47576879e+14  1.38946698e+33  3.44227100e+02  8.15524063e-02  2.82960000e+00  1.06431511e-02  2.90600958e-03  9.98804357e-01  5.88290016e-04  7.48516275e+13 
 2.51971098e+14  1.48116998e+33  2.11012100e+02  8.07330994e-02  2.99160000e+00  1.27000467e-02  2.31166518e-03  9.94618137e-01  3.22431871e-04  3.73495189e+12 
 2.56365318e+14  1.57951593e+33  1.44492100e+02  8.08129118e-02  3.14960000e+00  1.49643536e-02  2.49382978e-03  9.86136546e-01  2.23050792e-04  3.87069443e+11 
 2.60759538e+14  1.68698497e+33  1.05473100e+02  8.14581995e-02  3.30660000e+00  1.74883599e-02  3.15743487e-03  9.73772961e-01  1.77137007e-04  6.12226612e+10 
 2.65153757e+14  1.79855941e+33  8.15211000e+01  8.25163033e-02  3.45660000e+00  2.01700193e-02  4.21795595e-03  9.59158560e-01  1.56911603e-04  1.40240928e+10 
 2.69547977e+14  1.91846843e+33  6.52191000e+01  8.39638314e-02  3.60460000e+00  2.30951777e-02  5.71044543e-03  9.42387845e-01  1.52119449e-04  4.08475385e+09 
 2.73942197e+14  2.04467384e+33  5.38011000e+01  8.57539591e-02  3.74760000e+00  2.62058681e-02  7.62950136e-03  9.23980442e-01  1.62037316e-04  1.49578198e+09 
 2.78336416e+14  2.14361805e+33  4.73741000e+01  8.73006850e-02  3.85260000e+00  2.86722070e-02  9.34256304e-03  9.09128178e-01  1.80886605e-04  8.08335016e+08 
 2.82730636e+14  2.25858338e+33  4.17451000e+01  8.92030520e-02  3.96560000e+00  3.15171645e-02  1.15080823e-02  8.91801801e-01  2.16542536e-04  4.61573173e+08 
 2.87124856e+14  2.37753898e+33  3.73031000e+01  9.12773940e-02  4.07460000e+00  3.44578103e-02  1.39238907e-02  8.73785829e-01  2.71677425e-04  2.94123952e+08 
 2.91519075e+14  2.50055743e+33  3.37301000e+01  9.35135834e-02  4.18060000e+00  3.75072453e-02  1.65753107e-02  8.55094380e-01  3.51528625e-04  2.03818557e+08 
 2.95913295e+14  2.62832906e+33  3.07991000e+01  9.59150259e-02  4.28360000e+00  4.06638577e-02  1.94575174e-02  8.35849510e-01  4.62458849e-04  1.49933390e+08 
