# rhoc (cgs) 	 Pc (cgs) 	 R (km) 	 M (msol) 	 R_core (km) 	 M_core (msol) 	 I/(MR^2) 	 I_crust/(M_crust R_crust^2)/(I/(MR^2)) 	 k_2 	 Lambda 
 2.30000000e+14  2.75232408e+33  1.92921000e+01  1.50198373e-01  7.00160000e+00  1.14164544e-01  6.54029585e-02  4.30142296e-01  6.58576671e-03  2.18648300e+07 
 2.30536534e+14  2.77104724e+33  1.92031000e+01  1.50914711e-01  7.01360000e+00  1.14930959e-01  6.60857289e-02  4.27813488e-01  6.74827666e-03  2.13776562e+07 
 2.31073069e+14  2.78977039e+33  1.91171000e+01  1.51630035e-01  7.02560000e+00  1.15698835e-01  6.67577310e-02  4.25483792e-01  6.91033497e-03  2.09050571e+07 
 2.31609603e+14  2.80849354e+33  1.90321000e+01  1.52344317e-01  7.03760000e+00  1.16468151e-01  6.74323828e-02  4.23153068e-01  7.07535422e-03  2.04464930e+07 
 2.32146138e+14  2.82721670e+33  1.89491000e+01  1.53057530e-01  7.04860000e+00  1.17207392e-01  6.81023442e-02  4.21108553e-01  7.24141816e-03  2.00014484e+07 
 2.32682672e+14  2.84593985e+33  1.88681000e+01  1.53769647e-01  7.06060000e+00  1.17979431e-01  6.87671518e-02  4.18775528e-01  7.40835921e-03  1.95694297e+07 
 2.33219207e+14  2.86466301e+33  1.87891000e+01  1.54480648e-01  7.07260000e+00  1.18752848e-01  6.94263408e-02  4.16441081e-01  7.57600281e-03  1.91499649e+07 
 2.33755741e+14  2.88338616e+33  1.87111000e+01  1.55190504e-01  7.08360000e+00  1.19495829e-01  7.00869258e-02  4.14393144e-01  7.74623422e-03  1.87426020e+07 
 2.34292275e+14  2.90210932e+33  1.86351000e+01  1.55899197e-01  7.09460000e+00  1.20239950e-01  7.07411430e-02  4.12343988e-01  7.91690219e-03  1.83469091e+07 
 2.34828810e+14  2.92083247e+33  1.85601000e+01  1.56606698e-01  7.10660000e+00  1.21017220e-01  7.13961989e-02  4.10004625e-01  8.08998708e-03  1.79624719e+07 
 2.35365344e+14  2.93955563e+33  1.84871000e+01  1.57312995e-01  7.11760000e+00  1.21763687e-01  7.20441220e-02  4.07952265e-01  8.26321788e-03  1.75888942e+07 
 2.35901879e+14  2.95827878e+33  1.84161000e+01  1.58018061e-01  7.12860000e+00  1.22511256e-01  7.26844170e-02  4.05898162e-01  8.43638230e-03  1.72257962e+07 
 2.36438413e+14  2.97700194e+33  1.83451000e+01  1.58721876e-01  7.13960000e+00  1.23259914e-01  7.33325795e-02  4.03842170e-01  8.61395625e-03  1.68728138e+07 
 2.36974948e+14  2.99572509e+33  1.82771000e+01  1.59424423e-01  7.15060000e+00  1.24009646e-01  7.39644308e-02  4.01784209e-01  8.78884389e-03  1.65295983e+07 
 2.37511482e+14  3.01444825e+33  1.82091000e+01  1.60125683e-01  7.16160000e+00  1.24760435e-01  7.46037552e-02  3.99724172e-01  8.96802894e-03  1.61958150e+07 
 2.38048016e+14  3.03317140e+33  1.81431000e+01  1.60825638e-01  7.17260000e+00  1.25512272e-01  7.52340593e-02  3.97661906e-01  9.14658072e-03  1.58711431e+07 
 2.38584551e+14  3.05298373e+33  1.80741000e+01  1.61565040e-01  7.18360000e+00  1.26288138e-01  7.59019114e-02  3.95663014e-01  9.33802113e-03  1.55370896e+07 
 2.39121085e+14  3.07289132e+33  1.80071000e+01  1.62306892e-01  7.19460000e+00  1.27067221e-01  7.65613292e-02  3.93668208e-01  9.52907675e-03  1.52108427e+07 
 2.39657620e+14  3.09279892e+33  1.79411000e+01  1.63047606e-01  7.20660000e+00  1.27880426e-01  7.72199545e-02  3.91381055e-01  9.72212794e-03  1.48937105e+07 
 2.40194154e+14  3.11270651e+33  1.78761000e+01  1.63787158e-01  7.21760000e+00  1.28662002e-01  7.78775737e-02  3.89382196e-01  9.91710326e-03  1.45853835e+07 
 2.40730689e+14  3.13261411e+33  1.78121000e+01  1.64525529e-01  7.22860000e+00  1.29444738e-01  7.85339735e-02  3.87381340e-01  1.01139282e-02  1.42855641e+07 
 2.41267223e+14  3.15252170e+33  1.77501000e+01  1.65262694e-01  7.23960000e+00  1.30228618e-01  7.91800087e-02  3.85378328e-01  1.03096178e-02  1.39939664e+07 
 2.41803757e+14  3.17242930e+33  1.76881000e+01  1.65998632e-01  7.25060000e+00  1.31013627e-01  7.98331962e-02  3.83373063e-01  1.05098299e-02  1.37103156e+07 
 2.42340292e+14  3.19233689e+33  1.76281000e+01  1.66733322e-01  7.26060000e+00  1.31766328e-01  8.04753597e-02  3.81656667e-01  1.07085996e-02  1.34343473e+07 
 2.42876826e+14  3.21224449e+33  1.75691000e+01  1.67466744e-01  7.27160000e+00  1.32553449e-01  8.11151919e-02  3.79646710e-01  1.09087361e-02  1.31658076e+07 
 2.43413361e+14  3.23215208e+33  1.75111000e+01  1.68198881e-01  7.28260000e+00  1.33341648e-01  8.17524622e-02  3.77634245e-01  1.11101407e-02  1.29044521e+07 
 2.43949895e+14  3.25205968e+33  1.74551000e+01  1.68929712e-01  7.29260000e+00  1.34097197e-01  8.23774947e-02  3.75910748e-01  1.13094693e-02  1.26500459e+07 
 2.44486430e+14  3.27196727e+33  1.73991000e+01  1.69659218e-01  7.30360000e+00  1.34887420e-01  8.30088278e-02  3.73892996e-01  1.15130251e-02  1.24023632e+07 
 2.45022964e+14  3.29187487e+33  1.73441000e+01  1.70387387e-01  7.31360000e+00  1.35644765e-01  8.36368909e-02  3.72164355e-01  1.17175264e-02  1.21611865e+07 
 2.45559498e+14  3.31178246e+33  1.72911000e+01  1.71114196e-01  7.32460000e+00  1.36436951e-01  8.42516897e-02  3.70141043e-01  1.19194079e-02  1.19263067e+07 
 2.46096033e+14  3.33169006e+33  1.72381000e+01  1.71839635e-01  7.33460000e+00  1.37196042e-01  8.48723799e-02  3.68406892e-01  1.21253766e-02  1.16975226e+07 
 2.46632567e+14  3.35159765e+33  1.71861000e+01  1.72563682e-01  7.34460000e+00  1.37955943e-01  8.54890662e-02  3.66669828e-01  1.23319292e-02  1.14746403e+07 
 2.47169102e+14  3.37255947e+33  1.71331000e+01  1.73324703e-01  7.35560000e+00  1.38773157e-01  8.61270735e-02  3.64700466e-01  1.25474536e-02  1.12460862e+07 
 2.47705636e+14  3.39368225e+33  1.70801000e+01  1.74090355e-01  7.36560000e+00  1.39560534e-01  8.67721068e-02  3.63030117e-01  1.27675755e-02  1.10218704e+07 
 2.48242171e+14  3.41480503e+33  1.70281000e+01  1.74854779e-01  7.37660000e+00  1.40383350e-01  8.74131479e-02  3.61064925e-01  1.29884023e-02  1.08035761e+07 
 2.48778705e+14  3.43592781e+33  1.69771000e+01  1.75617950e-01  7.38760000e+00  1.41207291e-01  8.80499410e-02  3.59096936e-01  1.32097985e-02  1.05910152e+07 
 2.49315239e+14  3.45705060e+33  1.69271000e+01  1.76379843e-01  7.39760000e+00  1.41997663e-01  8.86822273e-02  3.57418421e-01  1.34316238e-02  1.03840062e+07 
 2.49851774e+14  3.47817338e+33  1.68771000e+01  1.77140448e-01  7.40760000e+00  1.42788923e-01  8.93203417e-02  3.55737214e-01  1.36577837e-02  1.01823739e+07 
 2.50388308e+14  3.49929616e+33  1.68291000e+01  1.77899738e-01  7.41860000e+00  1.43615952e-01  8.99429544e-02  3.53760516e-01  1.38801151e-02  9.98594941e+06 
 2.50924843e+14  3.52041894e+33  1.67811000e+01  1.78657696e-01  7.42860000e+00  1.44409065e-01  9.05710809e-02  3.52073332e-01  1.41066381e-02  9.79457023e+06 
 2.51461377e+14  3.54154172e+33  1.67351000e+01  1.79414310e-01  7.43860000e+00  1.45203023e-01  9.11829791e-02  3.50383217e-01  1.43288724e-02  9.60807896e+06 
 2.51997912e+14  3.56266450e+33  1.66891000e+01  1.80169557e-01  7.44860000e+00  1.45997819e-01  9.18000761e-02  3.48690017e-01  1.45551433e-02  9.42632463e+06 
 2.52534446e+14  3.58378728e+33  1.66441000e+01  1.80923423e-01  7.45860000e+00  1.46793440e-01  9.24113141e-02  3.46993676e-01  1.47810867e-02  9.24916112e+06 
 2.53070980e+14  3.60491006e+33  1.66001000e+01  1.81675892e-01  7.46860000e+00  1.47589871e-01  9.30164288e-02  3.45294139e-01  1.50065377e-02  9.07644753e+06 
 2.53607515e+14  3.62603284e+33  1.65561000e+01  1.82426948e-01  7.47860000e+00  1.48387100e-01  9.36264663e-02  3.43591364e-01  1.52359289e-02  8.90804829e+06 
 2.54144049e+14  3.64715562e+33  1.65131000e+01  1.83176576e-01  7.48860000e+00  1.49185112e-01  9.42300548e-02  3.41885294e-01  1.54646489e-02  8.74383216e+06 
 2.54680584e+14  3.66827840e+33  1.64711000e+01  1.83924764e-01  7.49760000e+00  1.49948258e-01  9.48269278e-02  3.40468650e-01  1.56925234e-02  8.58367272e+06 
 2.55217118e+14  3.68940118e+33  1.64301000e+01  1.84671496e-01  7.50760000e+00  1.50747710e-01  9.54168187e-02  3.38755853e-01  1.59193745e-02  8.42744795e+06 
 2.55753652e+14  3.71150735e+33  1.63871000e+01  1.85451537e-01  7.51760000e+00  1.51568568e-01  9.60400481e-02  3.37096169e-01  1.61612306e-02  8.26801277e+06 
 2.56290187e+14  3.73387176e+33  1.63451000e+01  1.86239401e-01  7.52760000e+00  1.52395752e-01  9.66578973e-02  3.35448085e-01  1.64026325e-02  8.11076864e+06 
 2.56826721e+14  3.75623617e+33  1.63031000e+01  1.87025954e-01  7.53760000e+00  1.53223837e-01  9.72806127e-02  3.33796754e-01  1.66481321e-02  7.95747821e+06 
 2.57363256e+14  3.77860059e+33  1.62621000e+01  1.87811179e-01  7.54760000e+00  1.54052802e-01  9.78961970e-02  3.32142146e-01  1.68926088e-02  7.80802240e+06 
 2.57899790e+14  3.80096500e+33  1.62221000e+01  1.88595056e-01  7.55760000e+00  1.54882631e-01  9.85043737e-02  3.30484232e-01  1.71358692e-02  7.66228619e+06 
 2.58436325e+14  3.82332942e+33  1.61831000e+01  1.89377569e-01  7.56760000e+00  1.55713307e-01  9.91048665e-02  3.28822978e-01  1.73777165e-02  7.52015832e+06 
 2.58972859e+14  3.84569383e+33  1.61441000e+01  1.90158700e-01  7.57760000e+00  1.56544814e-01  9.97097511e-02  3.27158334e-01  1.76234083e-02  7.38153149e+06 
 2.59509393e+14  3.86805825e+33  1.61051000e+01  1.90938433e-01  7.58660000e+00  1.57340655e-01  1.00319063e-01  3.25782926e-01  1.78730091e-02  7.24630179e+06 
 2.60045928e+14  3.89042266e+33  1.60681000e+01  1.91716755e-01  7.59660000e+00  1.58173685e-01  1.00907713e-01  3.24111434e-01  1.81153067e-02  7.11436852e+06 
 2.60582462e+14  3.91278708e+33  1.60311000e+01  1.92493647e-01  7.60560000e+00  1.58970831e-01  1.01500441e-01  3.22729063e-01  1.83612776e-02  6.98563498e+06 
 2.61118997e+14  3.93515149e+33  1.59941000e+01  1.93269094e-01  7.61560000e+00  1.59805338e-01  1.02097275e-01  3.21050485e-01  1.86109794e-02  6.86000742e+06 
 2.61655531e+14  3.95751591e+33  1.59591000e+01  1.94043087e-01  7.62460000e+00  1.60603741e-01  1.02672509e-01  3.19660976e-01  1.88526552e-02  6.73739489e+06 
 2.62192066e+14  3.97988032e+33  1.59231000e+01  1.94815606e-01  7.63460000e+00  1.61439662e-01  1.03264467e-01  3.17975261e-01  1.91038096e-02  6.61771026e+06 
 2.62728600e+14  4.00224473e+33  1.58891000e+01  1.95586642e-01  7.64360000e+00  1.62239281e-01  1.03834267e-01  3.16578393e-01  1.93465021e-02  6.50086839e+06 
 2.63265134e+14  4.02460915e+33  1.58541000e+01  1.96356184e-01  7.65260000e+00  1.63039435e-01  1.04420848e-01  3.15177913e-01  1.95987809e-02  6.38678782e+06 
 2.63801669e+14  4.04697356e+33  1.58211000e+01  1.97124213e-01  7.66160000e+00  1.63840126e-01  1.04984711e-01  3.13773587e-01  1.98421513e-02  6.27538900e+06 
 2.64338203e+14  4.07021395e+33  1.57861000e+01  1.97920799e-01  7.67160000e+00  1.64696938e-01  1.05583797e-01  3.12121175e-01  2.01030825e-02  6.16237478e+06 
 2.64874738e+14  4.09384360e+33  1.57521000e+01  1.98729365e-01  7.68060000e+00  1.65525314e-01  1.06175598e-01  3.10778715e-01  2.03620219e-02  6.05022260e+06 
 2.65411272e+14  4.11747325e+33  1.57181000e+01  1.99536559e-01  7.69060000e+00  1.66391840e-01  1.06771200e-01  3.09140488e-01  2.06246367e-02  5.94076715e+06 
 2.65947807e+14  4.14110290e+33  1.56851000e+01  2.00342357e-01  7.69960000e+00  1.67221616e-01  1.07356937e-01  3.07790669e-01  2.08843204e-02  5.83393099e+06 
 2.66484341e+14  4.16473255e+33  1.56521000e+01  2.01146752e-01  7.70960000e+00  1.68089686e-01  1.07946323e-01  3.06145257e-01  2.11475933e-02  5.72963927e+06 
 2.67020875e+14  4.18836220e+33  1.56201000e+01  2.01949721e-01  7.71860000e+00  1.68920788e-01  1.08525482e-01  3.04788131e-01  2.14076503e-02  5.62781929e+06 
 2.67557410e+14  4.21199185e+33  1.55881000e+01  2.02751249e-01  7.72760000e+00  1.69752489e-01  1.09108126e-01  3.03427215e-01  2.16711984e-02  5.52840089e+06 
 2.68093944e+14  4.23562150e+33  1.55571000e+01  2.03551327e-01  7.73660000e+00  1.70584766e-01  1.09680182e-01  3.02062606e-01  2.19312385e-02  5.43131589e+06 
 2.68630479e+14  4.25925115e+33  1.55261000e+01  2.04349937e-01  7.74660000e+00  1.71455652e-01  1.10255563e-01  3.00402527e-01  2.21946681e-02  5.33649852e+06 
 2.69167013e+14  4.28288081e+33  1.54961000e+01  2.05147065e-01  7.75560000e+00  1.72289148e-01  1.10819986e-01  2.99030382e-01  2.24542862e-02  5.24388490e+06 
 2.69703548e+14  4.30651046e+33  1.54661000e+01  2.05942698e-01  7.76460000e+00  1.73123188e-01  1.11387571e-01  2.97654415e-01  2.27171853e-02  5.15341341e+06 
 2.70240082e+14  4.33014011e+33  1.54361000e+01  2.06736824e-01  7.77360000e+00  1.73957758e-01  1.11958339e-01  2.96274622e-01  2.29834082e-02  5.06502425e+06 
 2.70776616e+14  4.35376976e+33  1.54071000e+01  2.07529430e-01  7.78160000e+00  1.74754456e-01  1.12517699e-01  2.95182267e-01  2.32454523e-02  4.97865944e+06 
 2.71313151e+14  4.37739941e+33  1.53791000e+01  2.08320505e-01  7.79060000e+00  1.75589967e-01  1.13065368e-01  2.93794650e-01  2.35030602e-02  4.89426292e+06 
 2.71849685e+14  4.40102906e+33  1.53511000e+01  2.09110038e-01  7.79960000e+00  1.76425973e-01  1.13615870e-01  2.92403170e-01  2.37637149e-02  4.81178056e+06 
 2.72386220e+14  4.42465871e+33  1.53231000e+01  2.09898017e-01  7.80860000e+00  1.77262462e-01  1.14169220e-01  2.91007812e-01  2.40274527e-02  4.73115978e+06 
 2.72922754e+14  4.46490580e+33  1.52771000e+01  2.11239166e-01  7.82360000e+00  1.78677109e-01  1.15093348e-01  2.88722350e-01  2.44705079e-02  4.59773303e+06 
 2.73459289e+14  4.51779470e+33  1.52171000e+01  2.13008458e-01  7.84260000e+00  1.80518372e-01  1.16315829e-01  2.85932937e-01  2.50633938e-02  4.42877370e+06 
 2.73995823e+14  4.57068360e+33  1.51591000e+01  2.14785649e-01  7.86160000e+00  1.82370461e-01  1.17524695e-01  2.83153423e-01  2.56561254e-02  4.26677986e+06 
 2.74532357e+14  4.62357251e+33  1.51031000e+01  2.16570356e-01  7.88060000e+00  1.84232922e-01  1.18719070e-01  2.80384561e-01  2.62479326e-02  4.11148695e+06 
 2.75068892e+14  4.67646141e+33  1.50471000e+01  2.18362201e-01  7.89960000e+00  1.86105388e-01  1.19929874e-01  2.77626482e-01  2.68558189e-02  3.96262976e+06 
 2.75605426e+14  4.72928407e+33  1.49941000e+01  2.20158570e-01  7.91860000e+00  1.87986098e-01  1.21108520e-01  2.74875854e-01  2.74526768e-02  3.82012093e+06 
 2.76141961e+14  4.78063694e+33  1.49431000e+01  2.21910907e-01  7.93660000e+00  1.89804493e-01  1.22260758e-01  2.72348042e-01  2.80429883e-02  3.68725301e+06 
 2.76678495e+14  4.83198981e+33  1.48931000e+01  2.23668640e-01  7.95560000e+00  1.91671172e-01  1.23411146e-01  2.69540688e-01  2.86386266e-02  3.55975908e+06 
 2.77215030e+14  4.88334267e+33  1.48451000e+01  2.25431473e-01  7.97360000e+00  1.93505862e-01  1.24542452e-01  2.67031387e-01  2.92294407e-02  3.43741349e+06 
