# rhoc (cgs) 	 Pc (cgs) 	 R (km) 	 M (msol) 	 R_core (km) 	 M_core (msol) 	 I/(MR^2) 	 I_crust/(M_crust R_crust^2)/(I/(MR^2)) 	 k_2 	 Lambda 
 2.30000000e+14  1.38901185e+33  3.94788510e+03  3.05075835e-01  3.65060000e+00  1.99137517e-02  1.39603065e-01  9.99999845e-01 -5.11443306e-04 -1.76258211e+16 
 2.32852337e+14  1.44888735e+33  1.62723810e+03  9.56656097e-02  3.74260000e+00  2.16193177e-02  2.72070797e-02  9.99982954e-01  5.35066945e-05  7.23523769e+15 
 2.35704673e+14  1.51132658e+33  4.38350100e+02  8.02988741e-02  3.83460000e+00  2.34246196e-02  3.48862387e-03  9.97520037e-01  8.37808972e-04  3.85719554e+14 
 2.38557010e+14  1.57634164e+33  2.27701100e+02  7.93246554e-02  3.92460000e+00  2.53009866e-02  2.20753152e-03  9.83380542e-01  3.39467020e-04  6.28276247e+12 
 2.41409347e+14  1.64561406e+33  1.48122100e+02  7.97365512e-02  4.01560000e+00  2.73094573e-02  2.29520141e-03  9.57573858e-01  2.20674766e-04  4.63588998e+11 
 2.44261683e+14  1.71748166e+33  1.08296100e+02  8.06704636e-02  4.10560000e+00  2.94082543e-02  2.85952795e-03  9.29181908e-01  1.74522873e-04  7.22623459e+10 
 2.47114020e+14  1.78934926e+33  8.54241000e+01  8.18590515e-02  4.19060000e+00  3.15029354e-02  3.70807864e-03  9.03540112e-01  1.54692860e-04  1.81805563e+10 
 2.49966357e+14  1.86523255e+33  7.00471000e+01  8.32810879e-02  4.27660000e+00  3.37293157e-02  4.83690949e-03  8.79554709e-01  1.47449890e-04  5.89429249e+09 
 2.52818693e+14  1.94588581e+33  5.90031000e+01  8.49242847e-02  4.36460000e+00  3.61200822e-02  6.25528978e-03  8.56537473e-01  1.49972832e-04  2.30566196e+09 
 2.55671030e+14  2.02653907e+33  5.11671000e+01  8.66661594e-02  4.44760000e+00  3.84973852e-02  7.86320873e-03  8.35532038e-01  1.61786030e-04  1.10208643e+09 
 2.58523366e+14  2.11163122e+33  4.50691000e+01  8.85841101e-02  4.53060000e+00  4.09959439e-02  9.73211192e-03  8.14952793e-01  1.84841273e-04  5.98387657e+08 
